Award_ID,Contract_Number,Award_Date,Fiscal_Year,VISN,Facility_Name,Contracting_Office,Vendor_Name,Vendor_UEI,Vendor_Size,Socioeconomic_Category,Category,NAICS_Code,NAICS_Description,PSC_Code,Contract_Type,Competition_Type,Set_Aside_Type,Number_of_Offers_Received,Award_Amount,Period_of_Performance_Start,Period_of_Performance_End,Period_of_Performance_Months
AWD-000021,36C046380H744,2024-02-25,2024,4,VISN 4 Medical Center North,Network Contracting Office (NCO) 17,Cornerstone Industries,Q9FUWH8WH2CB,Small Business,N/A,IT Services,541512,Computer Systems Design Services,D316,Firm Fixed Price,Full and Open,Full and Open (No Set-Aside),4,659344.77,2024-03-24,2026-03-23,24
AWD-000022,36C171953B585,2025-01-05,2025,17,VISN 17 Medical Center South,Network Contracting Office (NCO) 7,Atlas Group,RJD5YFRHTB6G,Other Than Small Business,N/A,Professional Services,541611,Administrative Management Consulting,R425,IDIQ,Full and Open,Full and Open (No Set-Aside),6,81945.7,2025-01-15,2028-01-14,36
AWD-000023,36C176780V483,2020-05-26,2020,17,VISN 17 Medical Center South,SAO East,Vanguard Partners,VRY48FDPG2UN,Other Than Small Business,N/A,Construction,237990,Other Heavy and Civil Engineering Construction,Y1AA,Firm Fixed Price,Limited Competition,Full and Open (No Set-Aside),4,888811.97,2020-06-16,2023-06-15,36
AWD-000024,36C086745X268,2023-03-31,2023,8,VISN 8 Medical Center Main,Denver Acquisition and Logistics Center (DALC),Apex Systems,RBW3WL84M7DH,Other Than Small Business,N/A,IT Services,518210,"Data Processing, Hosting, and Related Services",D316,Firm Fixed Price,Sole Source,Full and Open (No Set-Aside),1,889331.73,2023-04-28,2026-04-26,36
AWD-000025,36C185424E922,2019-11-19,2020,18,VISN 18 Medical Center South,Network Contracting Office (NCO) 2,Beacon Technologies,S2Z2GXUYJZ76,Other Than Small Business,N/A,IT Services,518210,"Data Processing, Hosting, and Related Services",D316,Time and Materials,Set-Aside,Full and Open (No Set-Aside),4,4633647.96,2019-12-03,2021-12-01,24
AWD-000026,36C102801V266,2025-03-11,2025,10,VISN 10 Medical Center Main,Strategic Acquisition Center (SAC) - Frederick,Precision Solutions,2P37KK6PFMRS,Small Business,N/A,Professional Services,541990,All Other Professional/Scientific/Technical Services,R408,Labor Hour,Full and Open,Full and Open (No Set-Aside),3,391027.21,2025-03-20,2025-09-18,6
AWD-000027,36C166073Q112,2022-04-15,2022,16,VISN 16 Medical Center Main,Network Contracting Office (NCO) 6,Keystone Industries,CYEHAVFQSBT4,Small Business,N/A,Construction,236220,Commercial Building Construction,Z1AA,Blanket Purchase Agreement (BPA),Sole Source,Full and Open (No Set-Aside),1,703233.0,2022-04-30,2025-04-28,36
AWD-000028,36C074204Q370,2026-01-18,2026,7,VISN 7 Medical Center Main,Network Contracting Office (NCO) 1,Beacon Solutions,TF9BRXPT324C,Small Business,N/A,Transportation,485991,Special Needs Transportation,V119,IDIQ,Full and Open,Full and Open (No Set-Aside),6,290000.73,2026-02-01,2028-01-31,24
AWD-000029,36C124204G514,2025-12-08,2026,12,VISN 12 Medical Center North,Network Contracting Office (NCO) 9,Guardian Group,KZ2PMBQEH2DA,Small Business,N/A,Professional Services,541990,All Other Professional/Scientific/Technical Services,R425,Firm Fixed Price,Set-Aside,Small Business,2,141042.54,2025-12-18,2027-12-17,24
AWD-000030,36C075998M894,2023-01-21,2023,7,VISN 7 Medical Center North,SAO West,Frontier Technologies,JTR7CAT8HAXN,Other Than Small Business,N/A,Security Services,561612,Security Guards and Patrol Services,S206,Time and Materials,Full and Open,Full and Open (No Set-Aside),3,164432.66,2023-01-22,2024-01-21,12
AWD-000031,36C119238D620,2025-06-22,2025,11,VISN 11 Medical Center Main,Network Contracting Office (NCO) 15,Atlas Inc.,8VEVJQYZ85HB,Other Than Small Business,N/A,Medical/Clinical Services,622110,General Medical and Surgical Hospitals,Q401,Cost Plus Fixed Fee,Full and Open,Full and Open (No Set-Aside),4,209764.92,2025-07-01,2025-12-30,6
AWD-000032,36C047280N755,2021-02-26,2021,4,VISN 4 Medical Center Main,SAO West,Guardian Consulting,C9B4DGAMV9YQ,Other Than Small Business,N/A,Security Services,561612,Security Guards and Patrol Services,S206,Firm Fixed Price,Full and Open,Full and Open (No Set-Aside),4,897394.47,2021-03-22,2024-03-20,36
AWD-000033,36C071510F597,2019-10-12,2020,7,VISN 7 Medical Center North,Network Contracting Office (NCO) 11,Frontier Partners,LLWBDAGKZFFT,Other Than Small Business,N/A,Pharmaceuticals,325412,Pharmaceutical Preparation Manufacturing,6508,Time and Materials,Sole Source,Full and Open (No Set-Aside),1,614097.89,2019-11-03,2022-11-01,36
AWD-000034,36C097988S300,2019-07-07,2019,9,VISN 9 Medical Center West,Network Contracting Office (NCO) 6,Meridian Solutions,XTE52KABH6LH,Small Business,N/A,Food Service,722320,Caterers,8940,Time and Materials,Set-Aside,Small Business,6,207943.1,2019-07-24,2023-07-22,48
AWD-000035,36C141443B660,2026-06-01,2026,14,VISN 14 Medical Center South,Network Contracting Office (NCO) 2,Legacy Federal Services,DUMVWPF4RTLR,Small Business,SDVOSB,Medical Equipment,423450,Medical Equipment Merchant Wholesalers,6515,Firm Fixed Price,Set-Aside,SDVOSB,2,96631.96,2026-06-04,2029-06-02,36
AWD-000036,36C187585W508,2021-07-22,2021,18,VISN 18 Medical Center Main,Network Contracting Office (NCO) 12,Pinnacle Consulting,GGJ8YCH7VYC7,Other Than Small Business,N/A,IT Services,541512,Computer Systems Design Services,D316,Labor Hour,Full and Open,Full and Open (No Set-Aside),2,565141.89,2021-08-11,2022-08-10,12
AWD-000037,36C137967F634,2022-03-31,2022,13,VISN 13 Medical Center Main,Network Contracting Office (NCO) 18,Meridian Associates,CWYUBNJB5X9A,Small Business,VOSB,IT Services,541519,Other Computer Related Services,D302,Firm Fixed Price,Set-Aside,VOSB,3,542737.48,2022-04-06,2026-04-04,48
AWD-000038,36C173684O100,2019-11-23,2020,17,VISN 17 Medical Center North,Network Contracting Office (NCO) 1,Legacy Partners,NBTESWFPC6TD,Other Than Small Business,N/A,IT Services,518210,"Data Processing, Hosting, and Related Services",D316,Firm Fixed Price,Sole Source,Full and Open (No Set-Aside),1,48415.43,2019-12-15,2020-06-14,6
AWD-000039,36C023427V610,2021-08-11,2021,2,VISN 2 Medical Center Main,Network Contracting Office (NCO) 10,Keystone Associates,SX7FTJXTVC5R,Other Than Small Business,N/A,Medical Equipment,423450,Medical Equipment Merchant Wholesalers,6520,Firm Fixed Price,Full and Open,Full and Open (No Set-Aside),3,3175570.87,2021-09-04,2022-09-03,12
AWD-000040,36C032614Z521,2020-02-18,2020,3,VISN 3 Medical Center North,National Acquisition Center (NAC),Summit Group,GV9MSH64BSZB,Other Than Small Business,N/A,Pharmaceuticals,325412,Pharmaceutical Preparation Manufacturing,6505,Firm Fixed Price,Full and Open,Full and Open (No Set-Aside),3,1130903.87,2020-02-28,2024-02-26,48
AWD-000041,36C077234R735,2023-04-06,2023,7,VISN 7 Medical Center North,SAO East,Precision Enterprises,94S8WES8BABV,Other Than Small Business,N/A,Medical/Clinical Services,621111,Offices of Physicians,Q201,Firm Fixed Price,Full and Open,Full and Open (No Set-Aside),2,272193.71,2023-05-01,2024-04-29,12
AWD-000042,36C095182X226,2022-02-12,2022,9,VISN 9 Medical Center Main,Network Contracting Office (NCO) 8,Cornerstone Inc.,P7Z9W78DF94V,Other Than Small Business,N/A,Medical/Clinical Services,622110,General Medical and Surgical Hospitals,Q201,Blanket Purchase Agreement (BPA),Full and Open,Full and Open (No Set-Aside),7,136715.66,2022-02-27,2025-02-25,36
AWD-000043,36C181094O784,2024-02-01,2024,18,VISN 18 Medical Center Main,Network Contracting Office (NCO) 10,Atlas Solutions,F9FSKTJVUZQT,Small Business,N/A,Security Services,561612,Security Guards and Patrol Services,S206,Firm Fixed Price,Full and Open,Full and Open (No Set-Aside),1,1411218.57,2024-02-18,2029-02-15,60
AWD-000044,36C114260U968,2026-02-16,2026,11,VISN 11 Medical Center North,Technology Acquisition Center (TAC),Patriot LLC,W4XDCBG7WNFF,Other Than Small Business,N/A,Facilities Management,561720,Janitorial Services,S201,Cost Plus Fixed Fee,Sole Source,Full and Open (No Set-Aside),1,71540.37,2026-03-09,2027-03-08,12
AWD-000045,36C063533Z581,2023-02-03,2023,6,VISN 6 Medical Center North,SAO East,Unity Systems,LWX8CB79744W,Other Than Small Business,N/A,Medical/Clinical Services,622110,General Medical and Surgical Hospitals,Q401,Blanket Purchase Agreement (BPA),Full and Open,Full and Open (No Set-Aside),6,293223.01,2023-03-03,2026-03-01,36
AWD-000046,36C028532B817,2020-10-28,2021,2,VISN 2 Medical Center North,Network Contracting Office (NCO) 12,Atlas Solutions,YSTA4ZMMRUS6,Small Business,N/A,IT Services,541519,Other Computer Related Services,D307,Firm Fixed Price,Set-Aside,Full and Open (No Set-Aside),4,309919.23,2020-11-22,2022-11-21,24
AWD-000047,36C153002F863,2023-02-25,2023,15,VISN 15 Medical Center Main,National Acquisition Center (NAC),Precision Systems,PDPFBXXT3LPJ,Other Than Small Business,N/A,Construction,237990,Other Heavy and Civil Engineering Construction,Z1AA,Firm Fixed Price,Full and Open,Full and Open (No Set-Aside),3,326710.75,2023-03-04,2024-03-02,12
AWD-000048,36C159555V422,2022-12-26,2023,15,VISN 15 Medical Center North,Network Contracting Office (NCO) 13,Precision Associates,ZFKZEFSPZUH2,Other Than Small Business,N/A,Transportation,485991,Special Needs Transportation,V231,Labor Hour,Full and Open,Full and Open (No Set-Aside),4,45067.34,2023-01-15,2026-01-13,36
AWD-000049,36C049836C780,2021-05-08,2021,4,VISN 4 Medical Center South,Network Contracting Office (NCO) 11,Frontier Inc.,MV7UDP2WUC2N,Small Business,N/A,Medical Equipment,423450,Medical Equipment Merchant Wholesalers,6515,Firm Fixed Price,Set-Aside,Small Business,1,901232.08,2021-05-19,2022-05-18,12
AWD-000050,36C151988H157,2021-12-29,2022,15,VISN 15 Medical Center Main,Network Contracting Office (NCO) 17,Guardian Systems,GT3B2QW9YKMK,Small Business,N/A,Medical/Clinical Services,621111,Offices of Physicians,Q301,Firm Fixed Price,Set-Aside,Full and Open (No Set-Aside),2,275880.62,2022-01-19,2025-01-17,36
AWD-000051,36C045376V221,2026-04-08,2026,4,VISN 4 Medical Center North,Network Contracting Office (NCO) 7,Unity Inc.,JHHDD2LLQCLB,Small Business,HUBZone,Security Services,561612,Security Guards and Patrol Services,S206,Blanket Purchase Agreement (BPA),Set-Aside,HUBZone,3,425703.9,2026-04-29,2028-04-27,24
AWD-000052,36C029131X741,2019-10-20,2020,2,VISN 2 Medical Center Main,Network Contracting Office (NCO) 6,Frontier Group,N5VKAP6R3L2X,Small Business,N/A,Medical/Clinical Services,621111,Offices of Physicians,Q201,Firm Fixed Price,Full and Open,Full and Open (No Set-Aside),5,1312320.44,2019-10-31,2021-10-29,24
AWD-000053,36C159215T118,2025-10-31,2026,15,VISN 15 Medical Center North,Network Contracting Office (NCO) 11,Patriot LLC,4Q294WR8WE48,Small Business,SDVOSB,Facilities Management,561720,Janitorial Services,S201,Time and Materials,Set-Aside,SDVOSB,5,241279.16,2025-11-22,2027-11-21,24
AWD-000054,36C139970O359,2026-02-13,2026,13,VISN 13 Medical Center South,Network Contracting Office (NCO) 4,Pinnacle Systems,VHS38XNVVEGL,Other Than Small Business,N/A,Facilities Management,561720,Janitorial Services,S201,Time and Materials,Sole Source,Full and Open (No Set-Aside),1,276123.45,2026-03-15,2028-03-13,24
AWD-000055,36C085009N476,2020-12-01,2021,8,VISN 8 Medical Center Main,Network Contracting Office (NCO) 1,Sterling Consulting,CS2VS24JT26F,Small Business,8(a),Medical/Clinical Services,621399,Offices of Health Practitioners,Q201,Firm Fixed Price,Set-Aside,8(a),2,493641.21,2020-12-11,2023-12-10,36
AWD-000056,36C034056E590,2024-12-27,2025,3,VISN 3 Medical Center North,Network Contracting Office (NCO) 13,Anchor Systems,YH38HQ3Y4873,Other Than Small Business,N/A,Pharmaceuticals,446110,Pharmacies and Drug Stores,6505,Firm Fixed Price,Full and Open,Full and Open (No Set-Aside),2,132643.49,2025-01-13,2027-01-12,24
AWD-000057,36C073625P249,2021-09-29,2021,7,VISN 7 Medical Center North,Network Contracting Office (NCO) 18,Anchor Industries,8Y2YHXUYNF7P,Small Business,SDVOSB,Construction,237990,Other Heavy and Civil Engineering Construction,Z1AA,Firm Fixed Price,Set-Aside,SDVOSB,1,2739374.51,2021-10-11,2024-10-09,36
AWD-000058,36C168910B221,2020-10-31,2021,16,VISN 16 Medical Center Main,Network Contracting Office (NCO) 4,Legacy Systems,7QHGF3NUVDEM,Small Business,N/A,IT Services,518210,"Data Processing, Hosting, and Related Services",D302,Labor Hour,Set-Aside,Small Business,2,1264214.52,2020-11-07,2022-11-06,24
AWD-000059,36C158324S311,2024-03-08,2024,15,VISN 15 Medical Center Main,Network Contracting Office (NCO) 3,Precision LLC,HBBYXBT9W5LV,Other Than Small Business,N/A,Construction,237990,Other Heavy and Civil Engineering Construction,Y1AA,Time and Materials,Full and Open,Full and Open (No Set-Aside),6,903905.65,2024-04-06,2025-04-05,12
AWD-000060,36C095567X406,2023-04-04,2023,9,VISN 9 Medical Center East,Network Contracting Office (NCO) 6,Keystone Solutions,Z62CKYDU2A4P,Other Than Small Business,N/A,Medical/Clinical Services,622110,General Medical and Surgical Hospitals,Q401,Blanket Purchase Agreement (BPA),Full and Open,Full and Open (No Set-Aside),8,34116.75,2023-04-22,2026-04-20,36
AWD-000061,36C066399E952,2022-01-10,2022,6,VISN 6 Medical Center South,Strategic Acquisition Center (SAC) - Frederick,Meridian Inc.,665QZCAEM3ZC,Small Business,N/A,Professional Services,541990,All Other Professional/Scientific/Technical Services,R425,IDIQ,Set-Aside,Full and Open (No Set-Aside),7,637499.67,2022-01-19,2027-01-17,60
AWD-000062,36C119905V311,2026-03-06,2026,11,VISN 11 Medical Center Main,Network Contracting Office (NCO) 8,Horizon Inc.,X3TYKMXSKCL4,Other Than Small Business,N/A,IT Services,541512,Computer Systems Design Services,D302,Firm Fixed Price,Set-Aside,Full and Open (No Set-Aside),7,360723.29,2026-04-01,2026-09-30,6
AWD-000063,36C131422E592,2025-03-31,2025,13,VISN 13 Medical Center North,Technology Acquisition Center (TAC),Liberty Technologies,NWCRY6KKLN5Q,Small Business,N/A,Medical Equipment,423450,Medical Equipment Merchant Wholesalers,6515,Firm Fixed Price,Full and Open,Full and Open (No Set-Aside),5,493545.86,2025-04-20,2028-04-18,36
AWD-000064,36C035267M969,2021-06-18,2021,3,VISN 3 Medical Center Main,Network Contracting Office (NCO) 4,Vertex Enterprises,3X447QG34MW2,Other Than Small Business,N/A,IT Services,541512,Computer Systems Design Services,D302,Firm Fixed Price,Full and Open,Full and Open (No Set-Aside),3,177861.64,2021-07-18,2022-07-17,12
AWD-000065,36C138953F119,2022-08-21,2022,13,VISN 13 Medical Center North,Network Contracting Office (NCO) 7,Cornerstone Partners,R579N7HXC8C7,Small Business,N/A,Facilities Management,561210,Facilities Support Services,S201,Time and Materials,Set-Aside,Small Business,6,312771.26,2022-08-28,2023-08-27,12
AWD-000066,36C095852N457,2019-08-18,2019,9,VISN 9 Medical Center North,Network Contracting Office (NCO) 9,Guardian Federal Services,PZP4AA6EWAYQ,Small Business,N/A,Medical/Clinical Services,621111,Offices of Physicians,Q201,IDIQ,Limited Competition,Full and Open (No Set-Aside),5,1583678.43,2019-09-08,2020-09-06,12
AWD-000067,36C073798H604,2021-07-27,2021,7,VISN 7 Medical Center Main,Strategic Acquisition Center (SAC) - Frederick,Anchor Partners,ZLFXZPZM8WLF,Other Than Small Business,N/A,Professional Services,541611,Administrative Management Consulting,R425,Firm Fixed Price,Limited Competition,Full and Open (No Set-Aside),8,51966.17,2021-08-08,2022-08-07,12
AWD-000068,36C024410Z373,2019-05-12,2019,2,VISN 2 Medical Center Main,Strategic Acquisition Center (SAC) - Frederick,Horizon Associates,VVEQYCQWTFCK,Other Than Small Business,N/A,Food Service,722320,Caterers,F002,Firm Fixed Price,Sole Source,Full and Open (No Set-Aside),1,390034.29,2019-05-28,2022-05-26,36
AWD-000069,36C052532I202,2022-07-16,2022,5,VISN 5 Medical Center North,Network Contracting Office (NCO) 7,Patriot Inc.,87FXTWDAF8PE,Other Than Small Business,N/A,Pharmaceuticals,325412,Pharmaceutical Preparation Manufacturing,6505,Cost Plus Fixed Fee,Limited Competition,Full and Open (No Set-Aside),4,343705.88,2022-07-23,2023-01-21,6
AWD-000070,36C017302S507,2023-07-02,2023,1,VISN 1 Medical Center Main,Network Contracting Office (NCO) 16,Summit Consulting,7C6ANL6YC6RM,Small Business,N/A,Medical/Clinical Services,621111,Offices of Physicians,Q301,IDIQ,Full and Open,Full and Open (No Set-Aside),5,493385.02,2023-07-19,2025-07-17,24
AWD-000071,36C115680J779,2022-01-01,2022,11,VISN 11 Medical Center Main,Network Contracting Office (NCO) 10,Vertex Partners,AM6BWL94GK84,Small Business,N/A,Facilities Management,561720,Janitorial Services,S214,Firm Fixed Price,Limited Competition,Full and Open (No Set-Aside),8,725312.1,2022-01-27,2023-01-26,12
AWD-000072,36C096217S684,2019-09-29,2019,9,VISN 9 Medical Center South,Network Contracting Office (NCO) 7,Guardian Consulting,FKXJWZTVDVEU,Small Business,N/A,Medical Equipment,423450,Medical Equipment Merchant Wholesalers,6515,Cost Plus Fixed Fee,Limited Competition,Full and Open (No Set-Aside),2,467179.3,2019-10-09,2023-10-07,48
AWD-000073,36C022932T761,2021-05-14,2021,2,VISN 2 Medical Center North,Network Contracting Office (NCO) 3,Vertex Solutions,FK9XCJP8T8DZ,Other Than Small Business,N/A,IT Services,541512,Computer Systems Design Services,D302,IDIQ,Full and Open,Full and Open (No Set-Aside),5,700598.47,2021-06-09,2022-06-08,12
AWD-000074,36C076892C444,2025-05-12,2025,7,VISN 7 Medical Center North,SAO East,Horizon Federal Services,MZDT8P8PNEDT,Small Business,N/A,IT Services,541519,Other Computer Related Services,D302,Time and Materials,Set-Aside,Small Business,1,3920141.83,2025-05-23,2027-05-22,24
AWD-000075,36C115172W507,2022-07-12,2022,11,VISN 11 Medical Center North,Network Contracting Office (NCO) 8,Frontier Enterprises,8VX53TKL8BT7,Small Business,8(a),Medical/Clinical Services,621399,Offices of Health Practitioners,Q301,IDIQ,Set-Aside,8(a),1,2714715.48,2022-08-05,2024-08-03,24
AWD-000076,36C112992J570,2021-05-20,2021,11,VISN 11 Medical Center Main,Technology Acquisition Center (TAC),Anchor Consulting,52BWZLRS6VVV,Other Than Small Business,N/A,Construction,237990,Other Heavy and Civil Engineering Construction,Z1AA,Firm Fixed Price,Full and Open,Full and Open (No Set-Aside),3,2681583.81,2021-06-02,2023-06-01,24
AWD-000077,36C163784S154,2026-05-08,2026,16,VISN 16 Medical Center South,National Acquisition Center (NAC),Anchor Consulting,X4D6UHHMXUEQ,Other Than Small Business,N/A,Security Services,561612,Security Guards and Patrol Services,S206,Firm Fixed Price,Full and Open,Full and Open (No Set-Aside),3,188371.54,2026-06-01,2027-05-31,12
AWD-000078,36C041940O394,2024-08-06,2024,4,VISN 4 Medical Center South,Network Contracting Office (NCO) 4,Cornerstone Group,QW2JUG9JJLFM,Small Business,VOSB,Medical/Clinical Services,622110,General Medical and Surgical Hospitals,Q201,Firm Fixed Price,Set-Aside,VOSB,4,233348.01,2024-08-16,2025-08-15,12
AWD-000079,36C171235U810,2023-06-09,2023,17,VISN 17 Medical Center South,Network Contracting Office (NCO) 12,Vertex Associates,67EW5SSV34FN,Other Than Small Business,N/A,Transportation,492110,Couriers and Express Delivery Services,V119,Firm Fixed Price,Limited Competition,Full and Open (No Set-Aside),4,64521.95,2023-06-17,2026-06-15,36
AWD-000080,36C052805I292,2026-03-18,2026,5,VISN 5 Medical Center South,National Acquisition Center (NAC),Legacy Group,Y28HDZ99C2NG,Other Than Small Business,N/A,Food Service,722320,Caterers,F002,Time and Materials,Limited Competition,Full and Open (No Set-Aside),2,94013.16,2026-03-21,2029-03-19,36
AWD-000081,36C137783R487,2024-02-23,2024,13,VISN 13 Medical Center Main,Network Contracting Office (NCO) 6,Vanguard Enterprises,WT3JL7K27ZXV,Small Business,N/A,Medical Equipment,339112,Surgical and Medical Instrument Mfg,6515,Firm Fixed Price,Limited Competition,Full and Open (No Set-Aside),6,388292.2,2024-03-06,2025-03-05,12
AWD-000082,36C068309I303,2020-08-08,2020,6,VISN 6 Medical Center Main,Technology Acquisition Center (TAC),Guardian Inc.,JGHRJSMJZ8RY,Small Business,N/A,Pharmaceuticals,446110,Pharmacies and Drug Stores,6508,Time and Materials,Full and Open,Full and Open (No Set-Aside),3,239419.18,2020-08-18,2021-02-16,6
