Record_ID,Fiscal_Year,VISN,Category,NAICS_Code,PSC_Code,Contract_Type,Set_Aside_Type,Competition_Type,Vendor_Size,Socioeconomic_Category,Estimated_Value,Number_of_Offers_Received,Incumbent_Present,Requirement_Complexity_Score,Contracting_Office_Open_Actions,Days_Since_Requirement_Posted,Prior_Year_Spend_Same_Requirement,Award_Amount,Days_to_Award,Small_Business_Award,Protest_Filed,On_Time_Award
MODEL-000013,2026,14,Medical/Clinical Services,622110,Q201,IDIQ,SDVOSB,Set-Aside,Small Business,SDVOSB,340737.91,2,No,2,56,37,0.0,367960.18,80,1,0,0
MODEL-000014,2022,4,Food Service,311423,F002,IDIQ,WOSB,Set-Aside,Small Business,WOSB,399256.43,2,No,5,17,60,0.0,411348.96,80,1,0,1
MODEL-000015,2021,14,Security Services,561612,S206,Firm Fixed Price,SDVOSB,Set-Aside,Small Business,SDVOSB,109842.25,5,Yes,2,5,85,139028.79,119461.67,53,0,0,1
MODEL-000016,2024,4,Medical/Clinical Services,622110,Q401,Firm Fixed Price,Full and Open (No Set-Aside),Full and Open,Other Than Small Business,N/A,346904.9,3,Yes,4,44,62,378333.88,410452.63,79,0,0,1
MODEL-000017,2025,2,Facilities Management,561210,S214,Time and Materials,SDVOSB,Set-Aside,Small Business,SDVOSB,176576.1,3,No,2,49,83,0.0,155188.94,61,1,0,1
MODEL-000018,2023,9,Medical Equipment,339112,6515,Firm Fixed Price,Full and Open (No Set-Aside),Full and Open,Small Business,N/A,414509.71,3,Yes,6,45,5,324866.32,382458.23,103,0,0,0
MODEL-000019,2025,1,Pharmaceuticals,325412,6508,Firm Fixed Price,Full and Open (No Set-Aside),Full and Open,Other Than Small Business,N/A,192429.71,3,Yes,3,44,111,192029.55,212859.9,73,0,0,1
MODEL-000020,2023,18,Pharmaceuticals,446110,6505,IDIQ,Full and Open (No Set-Aside),Full and Open,Other Than Small Business,N/A,1413487.39,4,Yes,4,30,69,1805844.73,1383747.0,105,0,0,0
MODEL-000021,2026,6,Medical/Clinical Services,621111,Q401,IDIQ,WOSB,Set-Aside,Small Business,WOSB,345164.02,5,Yes,7,16,62,306071.51,356799.17,66,1,0,1
MODEL-000022,2021,12,Construction,236220,Y1AA,Firm Fixed Price,WOSB,Set-Aside,Small Business,WOSB,1106099.03,5,Yes,6,77,5,1034009.81,1219725.69,91,1,0,1
MODEL-000023,2021,10,Medical/Clinical Services,621399,Q401,Blanket Purchase Agreement (BPA),Small Business,Set-Aside,Small Business,N/A,538386.01,4,No,2,55,98,0.0,535383.35,61,1,0,1
MODEL-000024,2024,7,Transportation,492110,V231,Firm Fixed Price,Full and Open (No Set-Aside),Full and Open,Other Than Small Business,N/A,76311.55,4,No,2,72,12,0.0,62804.28,79,1,1,0
MODEL-000025,2022,5,Professional Services,541611,R408,Firm Fixed Price,Full and Open (No Set-Aside),Limited Competition,Small Business,N/A,75662.21,3,No,1,65,69,0.0,72312.17,50,0,0,1
MODEL-000026,2024,2,Professional Services,541990,R425,Blanket Purchase Agreement (BPA),SDVOSB,Set-Aside,Small Business,SDVOSB,5204474.41,3,No,7,48,98,0.0,4294480.07,110,1,0,0
MODEL-000027,2021,18,Pharmaceuticals,446110,6505,Firm Fixed Price,Small Business,Set-Aside,Small Business,N/A,357322.96,3,No,3,51,28,0.0,362698.15,84,1,0,0
MODEL-000028,2023,16,Pharmaceuticals,325412,6508,Blanket Purchase Agreement (BPA),Small Business,Set-Aside,Small Business,N/A,161899.03,7,Yes,4,64,76,189972.0,188925.33,81,1,0,1
MODEL-000029,2026,13,Medical Equipment,339112,6520,Firm Fixed Price,SDVOSB,Set-Aside,Small Business,SDVOSB,529282.68,6,No,3,43,56,0.0,466063.54,59,1,0,1
MODEL-000030,2024,4,Food Service,311423,8940,Time and Materials,SDVOSB,Set-Aside,Small Business,SDVOSB,212432.96,1,Yes,6,35,102,153980.88,234457.9,67,1,0,1
MODEL-000031,2025,2,Medical Equipment,339112,6515,Blanket Purchase Agreement (BPA),Full and Open (No Set-Aside),Full and Open,Small Business,N/A,311264.5,3,Yes,4,46,108,218734.13,332170.13,85,0,0,1
MODEL-000032,2021,17,Medical/Clinical Services,621399,Q401,Firm Fixed Price,Full and Open (No Set-Aside),Full and Open,Other Than Small Business,N/A,190612.67,6,No,6,42,61,0.0,198772.97,125,1,0,0
MODEL-000033,2021,6,Facilities Management,561720,S201,Firm Fixed Price,Full and Open (No Set-Aside),Full and Open,Other Than Small Business,N/A,206172.0,4,No,5,75,61,0.0,254323.8,94,0,0,0
MODEL-000034,2025,7,Construction,236220,Z1AA,IDIQ,SDVOSB,Set-Aside,Small Business,SDVOSB,6289880.72,3,Yes,8,31,73,7964015.75,6300758.33,106,1,0,1
MODEL-000035,2026,5,Construction,237990,Y1AA,Blanket Purchase Agreement (BPA),Full and Open (No Set-Aside),Full and Open,Small Business,N/A,944714.8,4,Yes,5,28,47,864145.05,860668.97,113,0,0,0
MODEL-000036,2023,3,Facilities Management,561720,S201,IDIQ,VOSB,Set-Aside,Small Business,VOSB,141558.95,1,Yes,3,35,40,179271.49,129894.42,49,1,0,1
MODEL-000037,2026,18,Facilities Management,561210,S214,Firm Fixed Price,Full and Open (No Set-Aside),Full and Open,Small Business,N/A,113862.5,3,Yes,4,56,25,80780.96,106685.15,91,0,0,0
MODEL-000038,2026,5,Food Service,311423,8940,Time and Materials,8(a),Set-Aside,Small Business,8(a),263330.44,4,No,6,33,71,0.0,279622.27,98,1,0,1
MODEL-000039,2026,13,Medical/Clinical Services,621399,Q401,Time and Materials,Full and Open (No Set-Aside),Limited Competition,Other Than Small Business,N/A,183184.35,5,No,6,27,77,0.0,193493.11,93,1,0,1
MODEL-000040,2024,16,Medical/Clinical Services,621111,Q201,Blanket Purchase Agreement (BPA),SDVOSB,Set-Aside,Small Business,SDVOSB,209760.73,2,Yes,3,60,66,178976.89,220204.81,56,1,0,1
MODEL-000041,2023,7,Medical Equipment,339112,6515,Firm Fixed Price,SDVOSB,Set-Aside,Small Business,SDVOSB,297842.08,5,Yes,8,23,26,332879.9,339225.86,106,1,0,1
MODEL-000042,2021,5,Professional Services,541990,R425,Firm Fixed Price,SDVOSB,Set-Aside,Small Business,SDVOSB,71244.1,3,Yes,6,66,91,60428.9,64896.48,79,1,0,1
MODEL-000043,2023,3,Medical/Clinical Services,621111,Q401,Firm Fixed Price,Small Business,Set-Aside,Small Business,N/A,147199.03,2,Yes,5,76,42,131863.86,163414.77,78,1,0,1
MODEL-000044,2023,5,Facilities Management,561720,S214,Firm Fixed Price,Full and Open (No Set-Aside),Full and Open,Other Than Small Business,N/A,157729.21,1,No,5,56,48,0.0,178492.01,87,0,0,1
MODEL-000045,2023,8,Food Service,311423,8940,Firm Fixed Price,Full and Open (No Set-Aside),Full and Open,Other Than Small Business,N/A,476238.43,5,No,3,59,35,0.0,518727.21,106,0,0,0
MODEL-000046,2025,9,Professional Services,541611,R425,Firm Fixed Price,Small Business,Set-Aside,Small Business,N/A,602475.81,4,No,1,36,110,0.0,660235.7,63,1,1,1
MODEL-000047,2023,3,Medical Equipment,339112,6520,Firm Fixed Price,Small Business,Set-Aside,Small Business,N/A,822259.97,3,No,7,55,93,0.0,982916.98,112,1,0,0
MODEL-000048,2023,3,IT Services,541512,D302,Cost Plus Fixed Fee,HUBZone,Set-Aside,Other Than Small Business,HUBZone,232242.45,1,No,4,42,67,0.0,251756.05,57,1,0,1
MODEL-000049,2023,14,Professional Services,541611,R425,Firm Fixed Price,WOSB,Set-Aside,Small Business,WOSB,56157.82,4,No,5,59,60,0.0,66290.94,88,1,0,1
MODEL-000050,2021,10,Medical/Clinical Services,622110,Q301,Firm Fixed Price,Full and Open (No Set-Aside),Full and Open,Small Business,N/A,724001.35,6,Yes,2,36,88,543502.2,514825.9,80,0,0,0
MODEL-000051,2026,14,Pharmaceuticals,446110,6505,Time and Materials,VOSB,Set-Aside,Small Business,VOSB,2771519.0,3,No,4,78,61,0.0,2615062.53,100,1,0,0
MODEL-000052,2021,7,Professional Services,541990,R425,Time and Materials,WOSB,Set-Aside,Small Business,WOSB,224427.67,4,Yes,5,5,87,262758.88,272586.08,53,1,0,1
MODEL-000053,2026,4,IT Services,541512,D302,Firm Fixed Price,HUBZone,Set-Aside,Other Than Small Business,HUBZone,529567.86,5,Yes,3,10,81,575164.68,544478.08,62,1,1,1
MODEL-000054,2026,18,Medical Equipment,339112,6515,Firm Fixed Price,8(a),Set-Aside,Small Business,8(a),610731.55,4,Yes,5,22,39,582837.5,654073.33,92,1,0,1
MODEL-000055,2022,17,Medical Equipment,423450,6515,IDIQ,VOSB,Set-Aside,Small Business,VOSB,1907930.95,2,Yes,3,71,49,2061151.46,1921471.92,59,1,0,1
MODEL-000056,2021,4,Medical/Clinical Services,622110,Q301,Cost Plus Fixed Fee,SDVOSB,Set-Aside,Small Business,SDVOSB,99946.99,2,Yes,1,55,35,119910.87,95304.38,54,1,0,1
MODEL-000057,2026,16,Facilities Management,561210,S214,Firm Fixed Price,SDVOSB,Set-Aside,Small Business,SDVOSB,1185736.92,1,No,6,21,81,0.0,1116864.79,97,1,0,1
MODEL-000058,2021,16,Food Service,311423,8940,Labor Hour,SDVOSB,Set-Aside,Small Business,SDVOSB,940978.6,5,Yes,5,36,95,1153636.22,1067519.67,69,1,0,1
MODEL-000059,2022,12,IT Services,518210,D302,Firm Fixed Price,SDVOSB,Set-Aside,Small Business,SDVOSB,273614.79,3,Yes,5,42,63,350986.38,226814.92,72,1,0,1
MODEL-000060,2022,10,Medical/Clinical Services,621111,Q201,Firm Fixed Price,VOSB,Set-Aside,Small Business,VOSB,11160718.25,2,Yes,7,37,61,7884368.86,11164218.92,149,0,0,0
MODEL-000061,2024,9,Pharmaceuticals,446110,6508,Firm Fixed Price,SDVOSB,Set-Aside,Small Business,SDVOSB,309148.29,3,No,2,52,49,0.0,261382.9,83,1,0,0
MODEL-000062,2024,14,Pharmaceuticals,325412,6508,IDIQ,Full and Open (No Set-Aside),Full and Open,Other Than Small Business,N/A,218490.64,6,No,8,69,74,0.0,266199.79,123,0,0,0
MODEL-000063,2023,4,Facilities Management,561720,S214,Blanket Purchase Agreement (BPA),8(a),Set-Aside,Small Business,8(a),318761.06,7,Yes,3,41,90,230424.5,205359.56,72,1,0,1
MODEL-000064,2023,2,Professional Services,541611,R408,Cost Plus Fixed Fee,SDVOSB,Set-Aside,Small Business,SDVOSB,273196.38,9,Yes,3,50,69,327992.08,303827.69,75,1,0,1
MODEL-000065,2025,9,Pharmaceuticals,325412,6505,Firm Fixed Price,SDVOSB,Set-Aside,Small Business,SDVOSB,260871.62,1,Yes,3,38,90,224368.86,194994.81,64,1,0,1
MODEL-000066,2021,9,Pharmaceuticals,325412,6508,Cost Plus Fixed Fee,Full and Open (No Set-Aside),Limited Competition,Other Than Small Business,N/A,270558.35,5,Yes,5,18,43,285108.21,281317.02,81,0,0,1
MODEL-000067,2023,9,IT Services,541519,D302,IDIQ,SDVOSB,Set-Aside,Small Business,SDVOSB,1561267.84,4,No,6,66,76,0.0,1648074.55,84,1,0,1
MODEL-000068,2024,9,IT Services,518210,D316,IDIQ,Full and Open (No Set-Aside),Full and Open,Small Business,N/A,79154.71,4,Yes,7,46,74,58806.3,77219.79,112,1,0,0
MODEL-000069,2023,16,Medical/Clinical Services,622110,Q401,Cost Plus Fixed Fee,VOSB,Set-Aside,Small Business,VOSB,324744.22,4,Yes,5,58,83,362742.25,349731.99,73,1,0,1
MODEL-000070,2023,17,Medical/Clinical Services,621111,Q301,Firm Fixed Price,Small Business,Set-Aside,Small Business,N/A,201192.01,2,No,1,32,64,0.0,225361.54,64,1,0,0
MODEL-000071,2022,13,Medical/Clinical Services,621111,Q201,Firm Fixed Price,Full and Open (No Set-Aside),Sole Source,Small Business,N/A,1871684.96,1,No,9,47,90,0.0,1917423.11,106,1,0,1
MODEL-000072,2025,4,IT Services,541519,D316,Firm Fixed Price,SDVOSB,Set-Aside,Small Business,SDVOSB,512636.94,6,Yes,6,36,64,390843.49,438857.61,89,1,0,1
MODEL-000073,2025,17,Medical Equipment,339112,6515,Firm Fixed Price,Full and Open (No Set-Aside),Sole Source,Small Business,N/A,265250.26,1,Yes,3,39,52,296803.18,264314.07,71,1,0,1
MODEL-000074,2025,1,Medical Equipment,423450,6515,IDIQ,Full and Open (No Set-Aside),Full and Open,Other Than Small Business,N/A,306756.57,4,No,5,61,63,0.0,324172.16,106,0,0,0
MODEL-000075,2024,11,Professional Services,541611,R425,Firm Fixed Price,SDVOSB,Set-Aside,Small Business,SDVOSB,552148.25,1,No,5,24,46,0.0,484885.48,95,1,0,0
MODEL-000076,2021,5,Pharmaceuticals,325412,6508,Labor Hour,8(a),Set-Aside,Small Business,8(a),736867.84,5,No,6,26,55,0.0,656442.08,95,1,0,1
MODEL-000077,2025,13,Construction,236220,Y1AA,Time and Materials,Full and Open (No Set-Aside),Full and Open,Other Than Small Business,N/A,3297518.04,3,Yes,7,36,66,4159131.26,3997097.46,93,1,0,1
MODEL-000078,2026,4,Professional Services,541611,R408,Firm Fixed Price,8(a),Set-Aside,Small Business,8(a),112476.93,5,Yes,5,58,53,138099.61,110433.27,77,1,0,1
MODEL-000079,2021,8,Security Services,561612,S206,Cost Plus Fixed Fee,SDVOSB,Set-Aside,Small Business,SDVOSB,329957.24,2,No,8,50,54,0.0,329433.9,101,1,0,1
MODEL-000080,2021,9,IT Services,541519,D307,Firm Fixed Price,WOSB,Set-Aside,Small Business,WOSB,517616.28,3,Yes,3,49,60,406778.74,554043.68,51,1,0,1
MODEL-000081,2022,16,Pharmaceuticals,446110,6508,Labor Hour,Full and Open (No Set-Aside),Limited Competition,Other Than Small Business,N/A,312757.46,3,No,5,50,53,0.0,287720.66,76,0,0,1
MODEL-000082,2025,12,Medical/Clinical Services,622110,Q401,IDIQ,Full and Open (No Set-Aside),Full and Open,Small Business,N/A,112563.04,4,No,5,73,55,0.0,106668.9,102,1,0,0
MODEL-000083,2021,11,Professional Services,541990,R425,Time and Materials,SDVOSB,Set-Aside,Small Business,SDVOSB,272471.8,4,No,6,43,18,0.0,277290.71,89,0,0,1
MODEL-000084,2023,5,Professional Services,541611,R425,Firm Fixed Price,SDVOSB,Set-Aside,Small Business,SDVOSB,227669.62,4,No,6,45,41,0.0,234171.44,94,1,0,1
MODEL-000085,2026,18,Medical Equipment,423450,6515,Blanket Purchase Agreement (BPA),SDVOSB,Set-Aside,Small Business,SDVOSB,53778.34,4,Yes,2,28,42,64226.68,55314.67,40,1,0,1
MODEL-000086,2025,16,Pharmaceuticals,325412,6508,Firm Fixed Price,Full and Open (No Set-Aside),Full and Open,Other Than Small Business,N/A,291781.05,5,No,4,26,38,0.0,299436.39,88,0,0,0
MODEL-000087,2025,16,IT Services,541519,D316,Firm Fixed Price,SDVOSB,Set-Aside,Small Business,SDVOSB,149654.11,5,Yes,5,16,42,175243.97,171054.36,43,1,0,1
MODEL-000088,2021,3,IT Services,541519,D316,Firm Fixed Price,Small Business,Set-Aside,Small Business,N/A,1748675.12,6,Yes,6,34,58,1272689.48,1486833.2,70,1,0,1
MODEL-000089,2021,18,IT Services,541519,D302,Time and Materials,VOSB,Set-Aside,Small Business,VOSB,1355841.15,2,No,10,47,91,0.0,1473015.08,95,1,0,1
MODEL-000090,2026,10,Pharmaceuticals,446110,6508,Labor Hour,SDVOSB,Set-Aside,Small Business,SDVOSB,644933.77,6,Yes,3,58,59,717459.95,598844.04,63,1,0,1
MODEL-000091,2026,6,Security Services,561612,S206,IDIQ,Small Business,Set-Aside,Small Business,N/A,281287.73,8,Yes,4,29,62,211074.54,254648.45,67,1,0,1
MODEL-000092,2022,8,Construction,236220,Z1AA,Time and Materials,SDVOSB,Set-Aside,Small Business,SDVOSB,1081377.04,1,Yes,6,30,68,911691.02,1137982.59,72,1,0,1
MODEL-000093,2025,16,IT Services,541519,D302,Cost Plus Fixed Fee,Full and Open (No Set-Aside),Full and Open,Small Business,N/A,135657.17,9,No,7,81,65,0.0,120359.5,144,0,0,0
MODEL-000094,2026,10,Pharmaceuticals,325412,6505,Firm Fixed Price,Full and Open (No Set-Aside),Full and Open,Other Than Small Business,N/A,853351.88,4,Yes,6,56,44,674486.13,841223.03,105,0,0,0
MODEL-000095,2021,10,Pharmaceuticals,325412,6508,IDIQ,Small Business,Set-Aside,Small Business,N/A,860263.28,3,Yes,6,59,41,781143.67,869841.74,91,1,0,1
MODEL-000096,2026,8,Medical/Clinical Services,621399,Q301,Cost Plus Fixed Fee,Full and Open (No Set-Aside),Limited Competition,Other Than Small Business,N/A,1392089.36,1,Yes,7,35,5,1409583.4,1686158.25,95,0,0,1
MODEL-000097,2021,3,Construction,237990,Z1AA,Firm Fixed Price,Small Business,Set-Aside,Small Business,N/A,1908941.93,2,No,8,24,12,0.0,2306429.3,100,1,0,1
MODEL-000098,2025,17,Security Services,561612,S206,Firm Fixed Price,SDVOSB,Set-Aside,Small Business,SDVOSB,358281.48,2,Yes,6,43,21,399871.4,308889.56,65,1,0,1
MODEL-000099,2022,1,IT Services,518210,D307,Firm Fixed Price,8(a),Set-Aside,Small Business,8(a),50105.9,3,No,5,31,54,0.0,51371.44,87,1,0,1
MODEL-000100,2026,5,Professional Services,541990,R425,Firm Fixed Price,Small Business,Set-Aside,Small Business,N/A,234254.46,4,Yes,8,47,102,220359.35,221859.23,74,1,0,1
MODEL-000101,2021,5,Professional Services,541990,R408,Firm Fixed Price,8(a),Set-Aside,Small Business,8(a),340292.16,5,No,5,60,70,0.0,375576.39,89,1,0,1
MODEL-000102,2021,13,Professional Services,541990,R425,Firm Fixed Price,SDVOSB,Set-Aside,Small Business,SDVOSB,34771.85,1,No,6,49,71,0.0,41102.16,80,1,0,1
MODEL-000103,2025,17,Facilities Management,561210,S201,Firm Fixed Price,WOSB,Set-Aside,Small Business,WOSB,230251.66,1,No,2,27,59,0.0,244158.45,45,1,0,1
MODEL-000104,2022,15,Facilities Management,561720,S214,Firm Fixed Price,Full and Open (No Set-Aside),Full and Open,Other Than Small Business,N/A,223713.52,2,Yes,3,29,60,231912.75,213355.08,63,1,0,1
MODEL-000105,2024,15,Medical/Clinical Services,622110,Q401,Firm Fixed Price,SDVOSB,Set-Aside,Small Business,SDVOSB,393571.74,5,Yes,3,62,77,421152.74,381983.58,59,1,0,1
MODEL-000106,2021,15,Facilities Management,561720,S214,Labor Hour,Full and Open (No Set-Aside),Sole Source,Other Than Small Business,N/A,101986.94,1,No,2,32,49,0.0,90883.11,68,0,0,1
MODEL-000107,2022,3,Pharmaceuticals,446110,6505,Cost Plus Fixed Fee,Full and Open (No Set-Aside),Full and Open,Other Than Small Business,N/A,191611.57,9,Yes,8,72,53,135078.8,212097.08,103,0,1,1
MODEL-000108,2025,7,Medical Equipment,423450,6515,Blanket Purchase Agreement (BPA),Full and Open (No Set-Aside),Full and Open,Other Than Small Business,N/A,221862.18,5,Yes,4,51,36,270257.01,261411.22,89,1,0,0
MODEL-000109,2024,3,Medical Equipment,339112,6515,Time and Materials,HUBZone,Set-Aside,Small Business,HUBZone,197543.32,10,No,4,38,65,0.0,205592.17,90,1,0,0
MODEL-000110,2023,5,Professional Services,541990,R425,Firm Fixed Price,Full and Open (No Set-Aside),Full and Open,Small Business,N/A,235805.33,3,No,5,30,50,0.0,249074.4,90,1,0,1
MODEL-000111,2024,10,Facilities Management,561720,S214,IDIQ,Full and Open (No Set-Aside),Full and Open,Small Business,N/A,110149.6,7,Yes,1,50,76,107749.63,118284.62,68,0,0,0
MODEL-000112,2023,4,Medical/Clinical Services,622110,Q201,Firm Fixed Price,SDVOSB,Set-Aside,Small Business,SDVOSB,183281.93,5,Yes,6,47,22,226046.17,216325.82,75,1,0,1
MODEL-000113,2026,12,Pharmaceuticals,325412,6505,Firm Fixed Price,Full and Open (No Set-Aside),Full and Open,Other Than Small Business,N/A,353397.52,3,No,8,28,28,0.0,299246.38,120,0,0,0
MODEL-000114,2025,3,Professional Services,541611,R425,IDIQ,Small Business,Set-Aside,Small Business,N/A,54704.06,5,Yes,5,48,64,60472.49,63657.08,67,1,0,1
MODEL-000115,2025,2,Professional Services,541611,R408,Firm Fixed Price,Small Business,Set-Aside,Small Business,N/A,84800.56,8,Yes,7,5,47,96603.63,88207.59,102,1,0,1
MODEL-000116,2026,18,Medical Equipment,339112,6525,Labor Hour,8(a),Set-Aside,Small Business,8(a),128391.7,4,Yes,5,44,102,159987.85,133461.49,71,1,0,1
MODEL-000117,2022,3,Pharmaceuticals,446110,6505,IDIQ,WOSB,Set-Aside,Small Business,WOSB,481413.05,1,No,6,18,91,0.0,416892.43,82,1,0,1
MODEL-000118,2023,18,Professional Services,541611,R425,Blanket Purchase Agreement (BPA),WOSB,Set-Aside,Small Business,WOSB,71945.62,3,Yes,4,26,10,70494.25,83198.44,63,0,0,1
MODEL-000119,2026,8,Construction,236220,Y1AA,Firm Fixed Price,Full and Open (No Set-Aside),Full and Open,Other Than Small Business,N/A,1760256.12,7,Yes,7,42,11,1543712.28,2054643.15,121,0,0,0
MODEL-000120,2022,11,Medical Equipment,423450,6525,Blanket Purchase Agreement (BPA),Full and Open (No Set-Aside),Full and Open,Other Than Small Business,N/A,516627.38,8,No,3,50,50,0.0,623239.53,106,1,0,0
MODEL-000121,2024,7,Facilities Management,561210,S201,Firm Fixed Price,Full and Open (No Set-Aside),Sole Source,Small Business,N/A,804385.86,1,Yes,4,76,40,737301.54,1000599.75,55,1,0,1
MODEL-000122,2022,12,IT Services,541512,D302,Firm Fixed Price,Full and Open (No Set-Aside),Full and Open,Small Business,N/A,191745.71,2,No,5,48,98,0.0,206167.32,89,0,0,1
MODEL-000123,2025,14,Construction,237990,Z1AA,Firm Fixed Price,VOSB,Set-Aside,Small Business,VOSB,685965.9,2,Yes,6,42,33,759546.41,728291.64,74,1,0,1
MODEL-000124,2026,9,Facilities Management,561720,S201,Labor Hour,Full and Open (No Set-Aside),Sole Source,Small Business,N/A,167229.89,1,Yes,6,46,27,186871.45,167704.9,65,1,0,1
MODEL-000125,2023,11,Construction,237990,Y1AA,Time and Materials,SDVOSB,Set-Aside,Small Business,SDVOSB,1847441.24,9,Yes,5,34,40,2309776.03,1720704.54,84,1,0,1
MODEL-000126,2025,12,Professional Services,541990,R408,Firm Fixed Price,SDVOSB,Set-Aside,Small Business,SDVOSB,160315.21,5,Yes,3,37,63,141171.65,141146.38,57,1,0,1
MODEL-000127,2026,15,Professional Services,541990,R408,Firm Fixed Price,WOSB,Set-Aside,Small Business,WOSB,196572.39,3,Yes,3,56,88,202502.92,193275.43,62,0,0,1
MODEL-000128,2026,1,Medical Equipment,339112,6525,Firm Fixed Price,Full and Open (No Set-Aside),Limited Competition,Small Business,N/A,277023.82,3,No,7,47,85,0.0,304412.08,90,1,0,1
MODEL-000129,2026,18,Medical Equipment,339112,6520,Firm Fixed Price,SDVOSB,Set-Aside,Small Business,SDVOSB,338799.56,3,No,6,57,96,0.0,324448.8,93,1,0,1
MODEL-000130,2022,11,Facilities Management,561210,S201,Time and Materials,Full and Open (No Set-Aside),Full and Open,Other Than Small Business,N/A,1649844.49,8,Yes,6,25,51,1866107.57,1910397.46,109,0,0,0
MODEL-000131,2022,14,Medical Equipment,339112,6515,IDIQ,SDVOSB,Set-Aside,Small Business,SDVOSB,157179.38,4,No,5,42,49,0.0,151206.5,87,1,0,1
MODEL-000132,2025,14,Medical/Clinical Services,621111,Q401,Firm Fixed Price,Full and Open (No Set-Aside),Full and Open,Small Business,N/A,749306.17,3,No,3,30,22,0.0,628990.28,115,0,0,0
MODEL-000133,2022,7,IT Services,541512,D307,Firm Fixed Price,SDVOSB,Set-Aside,Small Business,SDVOSB,353391.36,5,No,6,54,23,0.0,352349.73,85,1,0,1
MODEL-000134,2023,8,Facilities Management,561720,S214,Firm Fixed Price,Small Business,Set-Aside,Small Business,N/A,113058.67,7,No,4,63,64,0.0,109964.15,74,1,0,1
MODEL-000135,2021,9,Medical/Clinical Services,621111,Q301,IDIQ,8(a),Set-Aside,Small Business,8(a),1910611.12,5,Yes,8,10,63,2246936.92,2415449.77,83,1,0,1
MODEL-000136,2022,3,Medical/Clinical Services,621399,Q201,Time and Materials,Full and Open (No Set-Aside),Limited Competition,Small Business,N/A,449046.82,1,Yes,6,56,89,545136.95,508584.97,57,1,0,1
MODEL-000137,2021,1,Transportation,492110,V231,Firm Fixed Price,Full and Open (No Set-Aside),Full and Open,Other Than Small Business,N/A,250372.33,2,Yes,5,66,83,257193.81,310956.64,77,0,0,1
MODEL-000138,2022,12,Food Service,311423,8940,Time and Materials,Small Business,Set-Aside,Small Business,N/A,134230.94,1,Yes,2,24,95,171187.79,101877.01,48,1,0,1
MODEL-000139,2024,2,IT Services,541519,D307,Firm Fixed Price,VOSB,Set-Aside,Small Business,VOSB,460677.08,8,Yes,5,34,88,399223.35,488337.92,66,1,0,1
